logFC	logCPM	LR	PValue	FDR
SLC39A6	-2.91809940585183	10.2786419882516	265.819104185095	9.25003106466539e-60	4.74773261112392e-58
KCNG1	3.67114770916971	2.48124682208509	265.725471900997	9.69507381058738e-60	4.94320352766306e-58
ZNF552	-2.33155989072459	6.13021006252347	265.580746132935	1.04254628930559e-59	5.28063413247617e-58
PRSS33	7.04406428343936	2.05354013618343	264.588893191303	1.71506248589061e-59	8.63023926723645e-58
AMY1A	3.38074161576382	2.63093476359533	264.025854040768	2.27510521816452e-59	1.13740487497718e-57
BUB1	2.11859535455896	4.9228306233839	262.737676571266	4.34289975235164e-59	2.15716033505518e-57
MCM2	1.51532554006218	6.10696481482823	262.675315929558	4.4809738207708e-59	2.21147547731503e-57
CDT1	1.90960430856159	4.11266853037373	262.65409143515	4.52896184996721e-59	2.22092211992978e-57
THOC4	1.21700789877578	5.87625552441883	262.593637294309	4.66848238426217e-59	2.27485100483762e-57
IRAK1	1.17956106796803	7.17521523928987	262.095469576035	5.99460714656104e-59	2.90267172461468e-57
MEIS3P1	-1.7921612987359	6.37356285561291	261.955629624495	6.43045358060402e-59	3.0942538823169e-57
CCNA2	1.97952404944861	4.78582951929067	261.587847030108	7.734057239096e-59	3.69841656421119e-57
SLC7A5	2.5829839237056	7.27755130381018	261.478314621439	8.17113344153311e-59	3.88330594854095e-57
SLC16A6	-3.61853262697205	4.62736662967479	261.246207161443	9.18068720527045e-59	4.33632581554462e-57
TTC7A	1.11448222206197	5.36535461863924	260.535045620871	1.31186584737817e-58	6.15857021888082e-57
DKC1	0.941320783543042	6.68933035536925	259.935421639152	1.77252630189505e-58	8.27071515047877e-57
IVD	-1.29007077806304	6.71715380402787	259.846590343152	1.85334307648254e-58	8.59571587098737e-57
PDE7A	1.43488171472982	6.04594908961543	259.674172199815	2.02087284613978e-58	9.31658685175458e-57
PHF19	1.16833941894919	4.80719452077667	259.472526621922	2.23611009097847e-58	1.02475068990733e-56
NFE2L3	1.73273549881082	5.40912892129088	259.009375006346	2.82130662420551e-58	1.28528045560699e-56
VGLL1	4.77814750541733	4.16259338983856	258.749325870655	3.21466495562064e-58	1.45586502901902e-56
KCNK5	2.70753377718989	4.59291202071282	258.121003024734	4.40654511527464e-58	1.98397607266079e-56
NCK2	1.09505285347756	5.94240024753892	257.848361893819	5.052766493576e-58	2.26170053686288e-56
ANLN	2.15325952706651	5.68234724281266	257.317141004843	6.59670095503052e-58	2.93572258108555e-56
CCDC125	-1.16926323896654	5.37928343119253	256.350534568342	1.07160250234342e-57	4.74153314111608e-56
FAM136A	0.953229571797537	5.64688935406639	256.263072610029	1.11969405915969e-57	4.92601403512597e-56
TFDP1	1.22491291096235	6.90662209642236	255.858908789075	1.37152127639145e-57	5.9996263107601e-56
SEPT3	2.53672400879133	4.69094938890184	255.565870420104	1.58884655688693e-57	6.91103369574715e-56
NCAPG2	1.28979722631073	5.32904058631871	255.440589635519	1.69196739611399e-57	7.3182342599335e-56
WFS1	-1.3921426918509	6.53341334034656	254.766696387114	2.37298648256136e-57	1.02064932565586e-55
NUP93	0.975601369472686	5.75684999379981	254.549565048042	2.64623529266851e-57	1.13185363990305e-55
MEMO1	0.915156383979622	5.37251055851207	254.378669888777	2.88325184691923e-57	1.22641745687465e-55
CELSR1	-2.20913945752239	7.90600290538201	254.163393824715	3.21226680204637e-57	1.35885945653599e-55
